English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
I'm from Korea.,아임 프롬 코리아.,나는 / 왔어 / 한국에서,저는 한국에서 왔어요.
I'm from Canada.,아임 프롬 캐나다.,나는 / 왔어 / 캐나다에서,저는 캐나다에서 왔어요.
I'm from Singapore.,아임 프롬 싱가포어.,나는 / 왔어 / 싱가포르에서,저는 싱가포르에서 왔어요.
I'm from Australia.,아임 프롬 오스트레일리아.,나는 / 왔어 / 호주에서,저는 호주에서 왔어요.
Are you here on vacation?,아 유 히어 온 베이케이션?,왔니 / 너는 / 여기에 / 휴가로,휴가차 여기 오셨나요?
"Yes, I am.","예스, 아이 엠.",응 / 그래,"네, 맞아요."
"No, I am here on business.","노우, 아이 엠 히어 온 비즈니스.",아니 / 나는 / 있어 / 여기에 / 사업상,"아니요, 사업차 여기 왔습니다."
Good bye!,굿 바이!,잘가!,안녕히 가세요!
See you later.,씨 유 레이터.,봐 / 너를 / 나중에,나중에 봐요.
See you next time.,씨 유 넥스트 타임.,봐 / 너를 / 다음에,다음에 봐요.
See you on Monday.,씨 유 온 먼데이.,봐 / 너를 / 월요일에,월요일에 봐요.
See you next week.,씨 유 넥스트 윅.,봐 / 너를 / 다음주에,다음 주에 봐요.
"Happy birthday, David.","해피 버얼쓰데이, 데이빗.",행복한 / 생일 / 데이빗,"생일 축하해, 데이빗."
"Happy birthday, mom.","해피 버얼쓰데이, 맘.",행복한 / 생일 / 엄마,"생일 축하해요, 엄마."
"Happy birthday, dad.","해피 버얼쓰데이, 대드.",행복한 / 생일 / 아빠,"생일 축하해요, 아빠."
Thank you.,땡큐.,고마워,고맙습니다.
You're welcome.,유어 웰컴.,천만에,천만에요.
"Mom, this is for you.","맘, 디스 이즈 포 유.",엄마 / 이것은 / 이에요 / 엄마를 위한 것,"엄마, 이거 엄마 거예요."
"Dad, this is for you.","대드, 디스 이즈 포 유.",아빠 / 이것은 / 이에요 / 아빠를 위한 것,"아빠, 이거 아빠 거예요."
"Oh, thank you.","오, 땡큐.",오 / 고마워,"오, 고마워요."
Excuse me.,익스큐즈 미.,실례합니다,실례합니다.
Yes.,예스.,네,네.
"Oh, I'm sorry.","오, 아임 쏘리.",오 / 나는 / 미안해,"오, 미안해요."
It's OK.,잇츠 오케이.,그것은 / 괜찮아,괜찮아요.
What is this?,왓 이즈 디스?,무엇이니 / 이것은,이게 뭐예요?
It's a chair.,잇츠 어 체어.,그것은 / 이야 / 의자,그것은 의자예요.
It's a pencil case.,잇츠 어 펜슬 케이스.,그것은 / 이야 / 필통,그것은 필통이에요.
It's a door.,잇츠 어 도어.,그것은 / 이야 / 문,그것은 문이에요.
It's a window.,잇츠 어 윈도우.,그것은 / 이야 / 창문,그것은 창문이에요.
It's a desk.,잇츠 어 데스크.,그것은 / 이야 / 책상,그것은 책상이에요.
It's a bag.,잇츠 어 백.,그것은 / 이야 / 가방,그것은 가방이에요.
What's that?,왓츠 댓?,무엇이니 / 저것은,저게 뭐예요?
It's a bag.,잇츠 어 백.,그것은 / 이야 / 가방,저것은 가방이에요.
What are these?,왓 아 디즈?,무엇이니 / 이것들은,이것들은 뭐예요?
They're bags.,데이어 백스.,그것들은 / 이야 / 가방들,그것들은 가방이에요.
"Sit down, please.","싯 다운, 플리즈.",앉아 / 주세요,앉아 주세요.
OK.,오케이.,알았어,알겠어요.
"Stand up, please.","스탠드 업, 플리즈.",일어나 / 주세요,일어나 주세요.
OK.,오케이.,알았어,알겠어요.
Open your mouth.,오픈 유어 마우쓰.,벌려 / 너의 / 입을,입을 벌리세요.
OK.,오케이.,알았어,알겠어요.
Close your mouth.,클로즈 유어 마우쓰.,다물어 / 너의 / 입을,입을 다무세요.
OK.,오케이.,알았어,알겠어요.
Open your eyes.,오픈 유어 아이즈.,떠 / 너의 / 눈을,눈을 뜨세요.
Close your eyes.,클로즈 유어 아이즈.,감아 / 너의 / 눈을,눈을 감으세요.
Open your book.,오픈 유어 북.,펼쳐 / 너의 / 책을,책을 펴세요.
Close your book.,클로즈 유어 북.,덮어 / 너의 / 책을,책을 덮으세요.
Touch your ears.,터치 유어 이어즈.,만져 / 너의 / 귀를,귀를 만지세요.
Touch your face.,터치 유어 페이스.,만져 / 너의 / 얼굴을,얼굴을 만지세요.
Touch your nose.,터치 유어 노우즈.,만져 / 너의 / 코를,코를 만지세요.
Please be quiet.,플리즈 비 콰이엇.,제발 / 조용히 해,조용히 해 주세요.
Listen carefully.,리슨 케어풀리.,들어 / 주의 깊게,잘 들어 보세요.
OK.,오케이.,알았어,알겠어요.
Point to the teacher.,포인트 투 더 티처.,가리켜 / 선생님을,선생님을 가리키세요.
OK.,오케이.,알았어,알겠어요.
Point to the book.,포인트 투 더 북.,가리켜 / 책을,책을 가리키세요.
Point to the chair.,포인트 투 더 체어.,가리켜 / 의자를,의자를 가리키세요.
Raise your hand.,레이즈 유어 핸드.,올려 / 너의 / 손을,손을 드세요.
"Yes, ma'am.","예스, 맴.",네 / 선생님,"네, 선생님."
Put your hand down.,풋 유어 핸드 다운.,내려 / 너의 / 손을,손을 내리세요.
"Yes, sir.","예스, 써.",네 / 선생님,"네, 선생님."
Put your book down.,풋 유어 북 다운.,내려놔 / 너의 / 책을,책을 내려놓으세요.
Take out your book.,테이크 아웃 유어 북.,꺼내 / 너의 / 책을,책을 꺼내세요.
"Yes, sir.","예스, 써.",네 / 선생님,"네, 선생님."
Take out your pen.,테이크 아웃 유어 펜.,꺼내 / 너의 / 펜을,펜을 꺼내세요.
Pick up your pencil.,픽 업 유어 펜슬.,집어 / 너의 / 연필을,연필을 집으세요.
OK.,오케이.,알았어,알겠어요.
Put your pencil down.,풋 유어 펜슬 다운.,내려놔 / 너의 / 연필을,연필을 내려놓으세요.
OK.,오케이.,알았어,알겠어요.
I'm hungry.,아임 헝그리.,나는 / 배고파,배고파요.
Look at your hands.,룩 앳 유어 핸즈.,봐 / 너의 / 손을,손을 보세요.
Look at your face.,룩 앳 유어 페이스.,봐 / 너의 / 얼굴을,얼굴을 보세요.
Look at the monkey.,룩 앳 더 멍키.,봐 / 원숭이를,원숭이를 보세요.
It's small.,잇츠 스몰.,그것은 / 작아,작아요.
It's big.,잇츠 빅.,그것은 / 커,커요.
"Wash your hands, please.","워쉬 유어 핸즈, 플리즈.",씻어 / 너의 / 손을 / 제발,손을 씻으세요.
OK.,오케이.,알았어,알겠어요.
What's your name?,왓츠 유어 네임?,무엇이니 / 너의 / 이름은,이름이 뭐예요?
My name is Sarah.,마이 네임 이즈 새롸.,나의 / 이름은 / 이야 / 사라,제 이름은 사라예요.
May I have your name?,메이 아이 해브 유어 네임?,물어봐도 될까요 / 너의 / 이름을,이름을 여쭤봐도 될까요?
My name is David.,마이 네임 이즈 데이빗.,나의 / 이름은 / 이야 / 데이빗,제 이름은 데이빗입니다.
Let me introduce myself to you.,렛 미 인트로듀스 마이셀프 투 유.,해볼게 / 소개를 / 나 자신을 / 너에게,제 소개를 하겠습니다.
My name is David.,마이 네임 이즈 데이빗.,나의 / 이름은 / 이야 / 데이빗,제 이름은 데이빗입니다.
"Nice to meet you, David.","나이스 투 밋 유, 데이빗.",반가워 / 만나게 되어 / 데이빗,"데이빗, 만나서 반가워요."
"Nice to meet you, too.","나이스 투 밋 유, 투.",반가워 / 만나게 되어 / 나도 역시,저도 만나서 반가워요.
Let me introduce my younger sister to you.,렛 미 인트로듀스 마이 영거 씨스터 투 유.,해볼게 / 소개를 / 나의 / 여동생을 / 너에게,제 여동생을 소개해 드릴게요.
This is Sarah.,디스 이즈 새롸.,이 애는 / 이야 / 사라,이쪽은 사라예요.
"Sarah, this is my friend, David.","새롸, 디스 이즈 마이 프렌드, 데이빗.",사라 / 이 사람은 / 나의 / 친구야 / 데이빗,"사라야, 이쪽은 내 친구 데이빗이야."
"Nice to meet you, David.","나이스 투 밋 유, 데이빗.",반가워 / 만나게 되어 / 데이빗,"반가워요, 데이빗."
"Nice to meet you, too, Sarah.","나이스 투 밋 유, 투, 새롸.",반가워 / 만나게 되어 / 나도 역시 / 사라,"저도 반가워요, 사라."
"Could you say your last name again, please?","쿠쥬 세이 유어 라스트 네임 어겐, 플리즈?",말해줄 수 있니 / 너의 / 성을 / 다시 / 한번,성을 다시 한번 말씀해 주시겠어요?
Johnson. J-o-h-n-s-o-n.,죤슨. 제이-오-에이치-엔-에스-오-엔.,죤슨 / J-o-h-n-s-o-n,존슨입니다. J-O-H-N-S-O-N.
This puppy is cute.,디스 퍼피 이즈 큐트.,이 / 강아지는 / 귀여워,이 강아지 귀엽네요.
"Oh, it is very cute.","오, 잇 이즈 베리 큐트.",오 / 그것은 / 정말 / 귀여워,"오, 정말 귀엽네요."
This frog is big.,디스 프로그 이즈 빅.,이 / 개구리는 / 커,이 개구리는 커요.
This horse is small.,디스 호어스 이즈 스몰.,이 / 말은 / 작아,이 말은 작아요.
Is this your cap?,이즈 디스 유어 캡?,이것이 / 너의 / 모자니,이거 네 모자니?
"Yes, it is.","예스, 잇 이즈.",응 / 그래,"네, 맞아요."
"No, it isn't.","노우, 잇 이즌트.",아니 / 그렇지 않아,"아니요, 그렇지 않아요."
Is this your bag?,이즈 디스 유어 백?,이것이 / 너의 / 가방이니,이거 네 가방이니?
Is this your pencil case?,이즈 디스 유어 펜슬 케이스?,이것이 / 너의 / 필통이니,이거 네 필통이니?
Is this yours?,이즈 디스 유어즈?,이것이 / 네 것이니,이거 네 것이니?
"Yes, that's mine.","예스, 댓츠 마인.",응 / 저것은 / 내 것이야,"네, 제 것이에요."
"No, that's not mine.","노우, 댓츠 낫 마인.",아니 / 저것은 / 아니야 / 내 것이,"아니요, 제 것이 아니에요."
Whose book is this?,후즈 북 이즈 디스?,누구의 / 책이니 / 이것은,이건 누구 책인가요?
That's mine.,댓츠 마인.,저것은 / 내 것이야,그건 제 거예요.
That's not mine.,댓츠 낫 마인.,저것은 / 아니야 / 내 것이,그건 제 것이 아니에요.
Whose pencil is this?,후즈 펜슬 이즈 디스?,누구의 / 연필이니 / 이것은,이건 누구 연필인가요?
Whose watch is this?,후즈 워치 이즈 디스?,누구의 / 시계니 / 이것은,이건 누구 시계인가요?
It's Joseph's.,잇츠 죠셉스.,그것은 / 죠셉의 것이야,요셉의 것이에요.
Whose scarf is this?,후즈 스카프 이즈 디스?,누구의 / 스카프니 / 이것은,이건 누구 스카프인가요?
It's mine.,잇츠 마인.,그것은 / 내 것이야,제 거예요.
Whose gloves are these?,후즈 글러브스 아 디즈?,누구의 / 장갑이니 / 이것들은,이건 누구 장갑인가요?
They're mine.,데이어 마인.,그것들은 / 내 것이야,제 거예요.
Wait your turn.,웨잇 유어 턴.,기다려 / 너의 / 차례를,네 차례를 기다려.
Whose turn is it?,후즈 턴 이즈 잇?,누구 / 차례니,누구 차례인가요?
My turn.,마이 턴.,내 / 차례야,제 차례예요.
What color is it?,왓 컬러 이즈 잇?,무슨 / 색이니 / 그것은,그건 무슨 색인가요?
It's green.,잇츠 그린.,그것은 / 초록색이야,그건 초록색이에요.
It's gray.,잇츠 그레이.,그것은 / 회색이야,그건 회색이에요.
It's red.,잇츠 레드.,그것은 / 빨간색이야,그건 빨간색이에요.
What's this?,왓츠 디스?,무엇이니 / 이것은,이게 뭐예요?
It's a red and yellow bag.,잇츠 어 레드 앤드 옐로우 백.,그것은 / 이야 / 빨갛고 노란 / 가방,그건 빨강과 노랑이 섞인 가방이에요.
I like apples.,아이 라이크 애플즈.,나는 / 좋아해 / 사과를,저는 사과를 좋아해요.
I don't like apples.,아이 돈트 라이크 애플즈.,나는 / 좋아하지 않아 / 사과를,저는 사과를 좋아하지 않아요.
Do you like chicken?,두 유 라이크 치킨?,좋아하니 / 너는 / 닭고기를,치킨 좋아하세요?
"Yes, I like chicken.","예스, 아이 라이크 치킨.",응 / 나는 / 좋아해 / 닭고기를,"네, 치킨 좋아해요."
"No, I don't like chicken.","노우, 아이 돈트 라이크 치킨.",아니 / 나는 / 좋아하지 않아 / 닭고기를,"아니요, 치킨 안 좋아해요."
I like grapes.,아이 라이크 그레입스.,나는 / 좋아해 / 포도를,저는 포도를 좋아해요.
I like bananas.,아이 라이크 버내너즈.,나는 / 좋아해 / 바나나를,저는 바나나를 좋아해요.
"Me, too.","미, 투.",나도 / 역시,저도요.
I like singing.,아이 라이크 씽잉.,나는 / 좋아해 / 노래하는 것을,저는 노래 부르는 걸 좋아해요.
"Me, too.","미, 투.",나도 / 그래,저도요.
What do you like?,왓 두 유 라이크?,무엇을 / 좋아하니 / 너는,무엇을 좋아하세요?
I like cats.,아이 라이크 캣츠.,나는 / 좋아해 / 고양이를,저는 고양이를 좋아해요.
"I like cats, too.","아이 라이크 캣츠, 투.",나는 / 좋아해 / 고양이를 / 나도 역시,저도 고양이를 좋아해요.
I like playing soccer.,아이 라이크 플레잉 싸커.,나는 / 좋아해 / 축구 하는 것을,저는 축구 하는 걸 좋아해요.
Do you like monkeys?,두 유 라이크 멍키즈?,좋아하니 / 너는 / 원숭이를,원숭이 좋아하세요?
"Yes, I like monkeys.","예스, 아이 라이크 멍키즈.",응 / 나는 / 좋아해 / 원숭이를,"네, 원숭이 좋아해요."
How about you?,하우 어바웃 유?,어때 / 너는,당신은 어때요?
I don't like monkeys.,아이 돈트 라이크 멍키즈.,나는 / 좋아하지 않아 / 원숭이를,저는 원숭이 안 좋아해요.
I don't like spiders.,아이 돈트 라이크 스파이더즈.,나는 / 좋아하지 않아 / 거미를,저는 거미를 안 좋아해요.
What's your favorite color?,왓츠 유어 페이버릿 컬러?,무엇이니 / 너의 / 가장 좋아하는 / 색깔은,가장 좋아하는 색깔이 뭐예요?
It's red.,잇츠 레드.,그것은 / 빨간색이야,빨간색이에요.
It's purple.,잇츠 퍼플.,그것은 / 보라색이야,보라색이에요.
I like brown.,아이 라이크 브라운.,나는 / 좋아해 / 갈색을,전 갈색을 좋아해요.
What's your favorite fruit?,왓츠 유어 페이버릿 프루트?,무엇이니 / 너의 / 가장 좋아하는 / 과일은,가장 좋아하는 과일이 뭐예요?
It's an apple.,잇츠 언 애플.,그것은 / 이야 / 사과,사과예요.
What's your favorite number?,왓츠 유어 페이버릿 넘버?,무엇이니 / 너의 / 가장 좋아하는 / 숫자는,가장 좋아하는 숫자가 뭐예요?
It's three.,잇츠 쓰리.,그것은 / 3이야,3이에요.
I like number seven.,아이 라이크 넘버 쎄븐.,나는 / 좋아해 / 숫자 / 7을,저는 숫자 7을 좋아해요.
Seven is a popular number among people.,쎄븐 이즈 어 파퓰러 넘버 어멍 피플.,7은 / 이야 / 인기 있는 / 숫자 / 사람들 사이에서,7은 사람들 사이에서 인기 있는 숫자예요.
What's your favorite sport?,왓츠 유어 페이버릿 스포트?,무엇이니 / 너의 / 가장 좋아하는 / 스포츠는,가장 좋아하는 스포츠가 뭐예요?
I like to play baseball.,아이 라이크 투 플레이 베이스볼.,나는 / 좋아해 / 하는 것을 / 야구를,저는 야구 하는 걸 좋아해요.
I have two dogs.,아이 해브 투 독스.,나는 / 가지고 있어 / 개 두 마리를,저는 강아지 두 마리를 키워요.
I have three cats.,아이 해브 쓰리 캣츠.,나는 / 가지고 있어 / 고양이 세 마리를,저는 고양이 세 마리를 키워요.
Do you have pigs?,두 유 해브 피그즈?,가지고 있니 / 너는 / 돼지를,돼지를 키우세요?
"Yes, I do. / No, I don't.","예스, 아이 두. / 노우, 아이 돈트.",응 / 그래 / 아니 / 그렇지 않아,네 키워요. / 아니요 안 키워요.
Do you have any dogs?,두 유 해브 애니 독스?,가지고 있니 / 너는 / 개를,강아지 있나요?
"Yes, I do.","예스, 아이 두.",응 / 그래,"네, 있어요."
How many dogs do you have?,하우 매니 독스 두 유 해브?,얼마나 많은 / 개를 / 가지고 있니 / 너는,강아지 몇 마리 키우세요?
I have five dogs.,아이 해브 파이브 독스.,나는 / 가지고 있어 / 개 다섯 마리를,강아지 다섯 마리 키워요.
How many flowers are there?,하우 매니 플라워즈 아 데어?,얼마나 많은 / 꽃들이 / 있니,꽃이 몇 송이 있나요?
There's one flower.,데어즈 원 플라워.,있어 / 꽃이 / 한 송이,꽃 한 송이가 있어요.
There are three flowers.,데어 아 쓰리 플라워즈.,있어 / 꽃들이 / 세 송이,꽃 세 송이가 있어요.
How many are there in your family?,하우 매니 아 데어 인 유어 패밀리?,얼마나 많은 / 있니 / 너희 / 가족에,가족이 몇 명인가요?
There are five in my family.,데어 아 파이브 인 마이 패밀리.,있어 / 다섯 명이 / 우리 / 가족에,저희 가족은 다섯 명이에요.
Do you have any brothers?,두 유 해브 애니 브라더즈?,있니 / 너는 / 형제가,남자 형제가 있나요?
I have one elder brother.,아이 해브 원 엘더 브라더.,나는 / 있어 / 형이 / 한 명,형이 한 명 있어요.
I can ski.,아이 캔 스키.,나는 / 할 수 있어 / 스키를,전 스키 탈 줄 알아요.
I can't ski.,아이 캔트 스키.,나는 / 할 수 없어 / 스키를,전 스키 못 타요.
Can you ski?,캔 유 스키?,할 수 있니 / 너는 / 스키를,스키 탈 줄 아세요?
"Yes, I can.","예스, 아이 캔.",응 / 할 수 있어,"네, 탈 줄 알아요."
"Sure, I can.","슈어, 아이 캔.",물론 / 할 수 있어,"물론이죠, 탈 줄 알아요."
"No, I can't.","노우, 아이 캔트.",아니 / 할 수 없어,"아니요, 못 타요."
I can't jump.,아이 캔트 점프.,나는 / 할 수 없어 / 점프를,전 점프 못 해요.
Help!,헬프!,도와줘!,도와주세요!
Wait! I'm coming.,웨잇! 아임 커밍.,기다려 / 내가 / 가고 있어,기다려요! 제가 갈게요.
Are you OK?,아 유 오케이?,괜찮니 / 너는,괜찮으세요?
"Yes, I'm OK.","예스, 아임 오케이.",응 / 나는 / 괜찮아,"네, 괜찮아요."
There is a pet shop around my house.,데어 이즈 어 펫 샵 어라운드 마이 하우스.,있어 / 애완동물 샵이 / 내 집 / 주변에,우리 집 근처에 애완동물 가게가 있어요.
It's cold.,잇츠 콜드.,추워,추워요.
Put on your gloves.,풋 온 유어 글러브스.,껴 / 너의 / 장갑을,장갑을 끼세요.
It's hot outside.,잇츠 핫 아웃사이드.,더워 / 바깥은,밖이 더워요.
Put on your sweater.,풋 온 유어 스웨터.,입어 / 너의 / 스웨터를,스웨터를 입으세요.
It's too small.,잇츠 투 스몰.,그것은 / 너무 / 작아,너무 작아요.
They're too small.,데이어 투 스몰.,그것들은 / 너무 / 작아,너무 작아요.
I don't like a rainy day.,아이 돈트 라이크 어 레이니 데이.,나는 / 좋아하지 않아 / 비오는 날을,전 비 오는 날을 안 좋아해요.
It's snowing.,잇츠 스노우잉.,눈이 / 오고 있어,눈이 오고 있어요.
I like snow.,아이 라이크 스노우.,나는 / 좋아해 / 눈을,전 눈이 좋아요.
"I like snow, too.","아이 라이크 스노우, 투.",나도 / 좋아해 / 눈을,저도 눈이 좋아요.
Let's make a snowman.,렛츠 메이크 어 스노우맨.,만들자 / 눈사람을,눈사람을 만들자.
Let's go outside.,렛츠 고우 아웃사이드.,가자 / 밖으로,밖으로 나가자.
Let's go on a picnic.,렛츠 고우 온 어 픽닉.,가자 / 소풍을,소풍 가자.
That's a good idea.,댓츠 어 굿 아이디어.,그건 / 좋은 / 생각이야,좋은 생각이에요.
How's the weather?,하우즈 더 웨더?,어때 / 날씨가,날씨가 어때요?
It's sunny.,잇츠 써니.,맑은 / 날씨야,화창해요.
It's a little windy today.,잇츠 어 리를 윈디 투데이.,조금 / 바람이 불어 / 오늘은,오늘은 바람이 좀 부네요.
How will the weather be tomorrow?,하우 윌 더 웨더 비 투모로우?,어떨까 / 날씨가 / 내일은,내일 날씨는 어떨까요?
It'll be cold tomorrow.,잇을 비 콜드 투모로우.,추울 거야 / 내일은,내일은 추울 거예요.
It'll be sunny tomorrow.,잇을 비 써니 투모로우.,맑을 거야 / 내일은,내일은 화창할 거예요.
"Hi, mom! I'm home.","하이, 맘! 아임 홈.",엄마 / 다녀왔습니다,"엄마, 다녀왔어요!"
Did you have a good time?,디쥬 해브 어 굿 타임?,보냈니 / 좋은 시간을 / 너는,즐거운 시간 보냈니?
"Yes, I had a good time.","예스, 아이 해드 어 굿 타임.",응 / 나는 / 보냈어 / 좋은 시간을,"네, 즐겁게 보냈어요."
Have a nice day.,해브 어 나이스 데이.,보내 / 좋은 / 하루를,좋은 하루 되세요.
Have a good weekend.,해브 어 굿 위켄드.,보내 / 좋은 / 주말을,즐거운 주말 보내세요.
Enjoy your trip to Europe.,인조이 유어 트립 투 유럽.,즐겨 / 너의 / 여행을 / 유럽으로,유럽 여행 잘 다녀오세요.
"You, too.","유, 투.",너도 / 역시,당신도요.
I hope to see you again.,아이 홉 투 씨 유 어겐.,나는 / 바라 / 보기를 / 너를 / 다시,다시 만나기를 바라요.
I hope so.,아이 홉 쏘우.,나도 / 그러기를 / 바라,저도 그러길 바라요.
It was nice meeting you today.,잇 워즈 나이스 미팅 유 투데이.,좋았어 / 만나서 / 너를 / 오늘,오늘 만나서 반가웠습니다.
I'm afraid I've got to go.,아임 어프레이드 아이브 갓 투 고우.,그만 / 가봐야겠어,이제 가봐야 할 것 같아요.
"Me, too. Nice talking with you.","미, 투. 나이스 토킹 위드 유.",나도 / 즐거웠어 / 얘기가 / 너와,"저도요. 대화 즐거웠습니다."
Watch out! Are you OK?,워치 아웃! 아 유 오케이?,조심해 / 괜찮니 / 너는,조심해! 괜찮니?
"Yes, I'm OK.","예스, 아임 오케이.",응 / 나는 / 괜찮아,"네, 괜찮아요."
Watch your step.,워치 유어 스텝.,조심해 / 너의 / 발걸음을,발밑 조심하세요.
"Oh, thank you!","오, 땡큐!",오 / 고마워!,"오, 감사합니다!"
Don't go that way. Watch out!,돈트 고우 댓 웨이. 워치 아웃!,가지마 / 그쪽으로 / 조심해!,그쪽으로 가지 마세요. 조심하세요!
Thanks.,땡크스.,고마워,고마워요.
Don't run. Don't do that.,돈트 런. 돈트 두 댓.,달리지마 / 그러지 마,뛰지 마세요. 그러지 마세요.
Don't watch TV.,돈트 워치 티비.,보지마 / TV를,TV 보지 마라.
Don't play the piano.,돈트 플레이 더 피애노우.,치지마 / 피아노를,피아노 치지 마라.
See you tomorrow at school.,씨 유 투모로우 앳 스쿨.,봐 / 내일 / 학교에서,내일 학교에서 봐요.
"Wow, beautiful! I like flowers.","와우, 뷰티풀! 아이 라이크 플라워즈.",와 / 아름답다 / 나는 / 좋아해 / 꽃을,"와, 아름다워요! 저는 꽃을 좋아해요."
Thank you for your advice.,땡큐 포 유어 어드바이스.,고마워 / 너의 / 조언에 대해,조언 고맙습니다.
Don't shout.,돈트 샤웃.,소리지르지마,소리 지르지 마세요.
Nice meeting you.,나이스 미팅 유.,반가웠어 / 만나서,만나서 반가웠어요.
I have a date at six.,아이 해브 어 데이트 앳 씩스.,나는 / 있어 / 약속이 / 6시에,6시에 약속이 있어요.
What should we do now?,왓 슈드 위 두 나우?,무엇을 / 해야 하지 / 우리는 / 지금,지금 우리 뭐 해야 하죠?
I didn't know that.,아이 디든트 노우 댓.,나는 / 몰랐어 / 그것을,그건 몰랐어요.
It's a long way.,잇츠 어 롱 웨이.,그것은 / 이야 / 먼 길,먼 길이네요.
Draw a line on it.,드로우 어 라인 온 잇.,그어 / 선을 / 그 위에,거기에 선을 그으세요.
Like this?,라이크 디스?,이렇게?,이렇게요?
Good!,굿!,좋아!,좋아요!
Draw a rectangle on it.,드로우 어 렉탱글 온 잇.,그려 / 직사각형을 / 그 위에,거기에 직사각형을 그리세요.
Make big circles on the paper.,메이크 빅 써클즈 온 더 페이퍼.,그려 / 큰 원들을 / 종이 위에,종이 위에 큰 원들을 그리세요.
"Can you help me, please?","캔 유 헬프 미, 플리즈?",도와 줄 수 있니 / 나를 / 제발,저 좀 도와주실 수 있나요?
"Sure, I can.","슈어, 아이 캔.",물론 / 할 수 있어,"그럼요, 도와드릴게요."
"Sorry, I can't.","쏘리, 아이 캔트.",미안해 / 할 수 없어,"죄송해요, 그럴 수 없어요."
I'm busy.,아임 비지.,나는 / 바빠,제가 좀 바빠서요.
Let me help you.,렛 미 헬프 유.,도와줄게 / 내가 / 너를,제가 도와드릴게요.
Thank you.,땡큐.,고마워,감사합니다.
Thank you for helping me.,땡큐 포 헬핑 미.,고마워 / 도와줘서 / 나를,도와주셔서 감사합니다.
Thank you for coming.,땡큐 포 커밍.,고마워 / 와줘서,와주셔서 감사합니다.
Don't mention it.,돈트 멘션 잇.,그런 말 하지마,별말씀을요.
It was nothing.,잇 워즈 낫씽.,별것도 / 아니었어,아무것도 아니에요.
It's my pleasure.,잇츠 마이 플레져.,천만에 / 나의 / 기쁨이야,제가 기뻐서 한 일인데요.
Thank you for giving me a ride.,땡큐 포 기빙 미 어 라이드.,고마워 / 태워줘서 / 나를,태워주셔서 감사합니다.
How are you doing?,하우 아 유 두잉?,어떻게 / 지내니 / 너는,어떻게 지내세요?
"I'm fine, thank you.","아임 파인, 땡큐.",잘 지내 / 고마워,"잘 지내요, 고맙습니다."
How is it going?,하우 이즈 잇 고잉?,어떻게 / 되어가고 있니,어떻게 돼가나요? (어떻게 지내세요?)
Not so good.,낫 쏘우 굿.,별로 / 좋지 않아,그다지 좋지는 않아요.
How have you been?,하우 해브 유 빈?,어떻게 / 지냈니 / 너는,그동안 어떻게 지내셨어요?
I'm good.,아임 굿.,나는 / 잘 지내,잘 지내요.
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에,감기에 걸렸어요.
I have a headache.,아이 해브 어 헤드에이크.,나는 / 있어 / 두통이,머리가 아파요.
I have a toothache.,아이 해브 어 투쓰에이크.,나는 / 있어 / 치통이,이가 아파요.
Long time no see.,롱 타임 노우 씨.,오랜만이야,오랜만이네요.
