English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
Chicken or beef?,치킨 오어 비프,치킨 / 아니면 / 소고기?,치킨 드릴까요 소고기 드릴까요?
Beef please.,비프 플리즈,소고기 / 부탁합니다,소고기로 주세요.
Can I have my meal later?,캔 아이 해브 마이 밀 레이터,해도 될까요 / 제가 / 먹는 것을 / 제 식사를 / 나중에,식사를 나중에 해도 될까요?
I feel air sick.,아이 필 에어 식,나는 / 느낀다 / 비행기 멀미를,멀미가 나요.
We'll be taking off soon.,윌 비 테이킹 오프 슌,우리는 / 할 것이다 / 이륙하는 것을 / 곧,곧 이륙하겠습니다.
We'll be landing soon.,윌 비 랜딩 슌,우리는 / 할 것이다 / 착륙하는 것을 / 곧,곧 착륙하겠습니다.
Where is baggage claim?,웨어 이즈 배기지 클레임,어디인가요 / 수하물 찾는 곳은,수하물 찾는 곳이 어디인가요?
It's on the first floor.,잇츠 온 더 퍼스트 플로어,그것은 / 있다 / 1층에,1층에 있습니다.
Which belt is it?,위치 벨트 이즈 잇,어느 벨트 / 인가요 / 그것은,어느 벨트인가요?
I can't find my bag.,아이 칸트 파인드 마이 백,나는 / 찾을 수 없다 / 나의 가방을,제 가방을 찾을 수 없어요.
My bag didn't arrive.,마이 백 디든트 어라이브,나의 가방이 / 도착하지 않았다,제 가방이 도착하지 않았어요.
My bag is damaged.,마이 백 이즈 대미지드,나의 가방이 / 이다 / 파손된,제 가방이 파손됐어요.
Here's my baggage tag.,히어즈 마이 배기지 태그,여기에 있다 / 나의 수하물 태그가,제 짐표 여기 있습니다.
Where is the lost and found?,웨어 이즈 더 로스트 앤 파운드,어디인가요 / 분실물 센터는,분실물 센터가 어디인가요?
What's the reason for your trip?,왓츠 더 리즌 포 유어 트립,무엇인가요 / 이유는 / 당신의 여행의,방문 목적이 무엇인가요?
I'm here on vacation.,아임 히어 온 베케이션,나는 / 여기에 있다 / 휴가차,휴가 왔습니다.
How long are you staying?,하우 롱 아 유 스테잉,얼마나 길게 / 당신은 / 머무나요,얼마나 머무실 건가요?
For 5 days.,포 파이브 데이즈,동안 / 5일,5일 동안요.
Where are you staying?,웨어 아 유 스테잉,어디에 / 당신은 / 머무나요,어디에 머무시나요?
I'm staying at the ABC hotel.,아임 스테잉 앳 디 에이비씨 호텔,나는 / 머문다 / ABC 호텔에,ABC 호텔에 머뭅니다.
Do you have a return ticket?,두 유 해브 어 리턴 티켓,당신은 / 가지고 있나요 / 돌아오는 티켓을,귀국 티켓이 있나요?
How much cash do you have?,하우 머치 캐시 두 유 해브,얼마나 많은 현금 / 을 / 당신은 / 가지고 있나요,현금을 얼마나 가지고 있나요?
About $200.,어바웃 투 헌드레드 달러즈,약 / 200달러,약 200달러요.
Do you have anything to declare?,두 유 해브 애니씽 투 디클레어,당신은 / 가지고 있나요 / 어떤 것을 / 신고할,신고할 것이 있나요?
Nothing to declare.,나씽 투 디클레어,아무것도 없다 / 신고할 것이,신고할 게 없습니다.
Please open your bag.,플리즈 오픈 유어 백,부탁합니다 / 여는 것을 / 당신의 가방을,가방 좀 열어 주세요.
Do you have receipts?,두 유 해브 리시츠,당신은 / 가지고 있나요 / 영수증을,영수증 있나요?
I bought it at dutyfree.,아이 보트 잇 앳 듀티프리,나는 / 샀다 / 그것을 / 면세점에서,면세점에서 샀어요.
Where can I catch a taxi?,웨어 캔 아이 캐치 어 택시,어디서 / 할 수 있나요 / 제가 / 택시를 잡는 것을,택시 어디서 타나요?
Where to?,웨어 투,어디로 (가시나요)?,어디로 가세요?
To this address please.,투 디스 어드레스 플리즈,이 주소로 / 부탁합니다,이 주소로 가주세요.
How much is the fare?,하우 머치 이즈 더 페어,얼마인가요 / 요금은,요금이 얼마인가요?
Can you drop me off here?,캔 유 드롭 미 오프 히어,해주실 수 있나요 / 당신이 / 내려주는 것을 / 나를 / 여기에,여기서 내려주시겠어요?
Where's the subway station?,웨어즈 더 서브웨이 스테이션,어디인가요 / 지하철역은,지하철역이 어디인가요?
Where is the bus stop?,웨어 이즈 더 버스 스톱,어디인가요 / 버스 정류장은,버스 정류장이 어디인가요?
How can I help you?,하우 캔 아이 헬프 유,어떻게 / 할 수 있을까요 / 제가 / 당신을 돕는 것을,무엇을 도와드릴까요?
I'd like to check in.,아이드 라이크 투 체크 인,나는 / 하고 싶다 / 체크인을,체크인하고 싶습니다.
Do you have a reservation?,두 유 해브 어 레저베이션,당신은 / 가지고 있나요 / 예약을,예약하셨나요?
Yes I do.,예스 아이 두,네 / 그렇습니다,네 예약했습니다.
May I see your ID?,메이 아이 씨 유어 아이디,해도 될까요 / 제가 / 보는 것을 / 당신의 신분증을,신분증 좀 볼 수 있을까요?
Can I check in early?,캔 아이 체크 인 얼리,해도 될까요 / 제가 / 체크인을 / 일찍,얼리 체크인 가능한가요?
A quiet room please.,어 콰이어트 룸 플리즈,조용한 방 / 부탁합니다,조용한 방으로 주세요.
A higher floor please.,어 하이어 플로어 플리즈,더 높은 층 / 부탁합니다,높은 층으로 주세요.
What's the Wi-Fi password?,왓츠 더 와이파이 패스워드,무엇인가요 / 와이파이 비밀번호는,와이파이 비밀번호가 뭔가요?
What time is checkout?,왓 타임 이즈 체크아웃,몇 시인가요 / 체크아웃은,체크아웃이 몇 시인가요?
Can you hold my bags?,캔 유 홀드 마이 백즈,해주실 수 있나요 / 당신이 / 보관하는 것을 / 내 가방을,제 짐 좀 맡아주실 수 있나요?
Here are your key cards.,히어 아 유어 키 카드즈,여기에 있다 / 당신의 키 카드가,여기 키 카드 있습니다.
I left my key inside.,아이 레프트 마이 키 인사이드,나는 / 두고 왔다 / 내 키를 / 안에,방에 키를 두고 나왔어요.
Tea or coffee?,티 오어 커피,차 / 아니면 / 커피?,차 드릴까요 커피 드릴까요?
How would you like your eggs?,하우 우쥬 라이크 유어 에그즈,어떻게 / 당신은 / 원하시나요 / 당신의 달걀을,달걀은 어떻게 해드릴까요?
Sunny side up please.,써니 사이드 업 플리즈,한쪽만 익힌 것 / 부탁합니다,써니 사이드 업으로 해주세요.
Scrambled please.,스크램블드 플리즈,스크램블로 / 부탁합니다,스크램블로 해주세요.
Could you take this plate?,쿠드 유 테이크 디스 플레이트,해주실 수 있나요 / 당신이 / 가져가는 것을 / 이 접시를,이 접시 좀 치워주시겠어요?
