English Sentence,Korean Pronounce,Direct Comprehension
Johnson. J-o-h-n-s-o-n.,죤슨. 제이-오-에이치-엔-에스-오-엔.,죤슨 / J-o-h-n-s-o-n
This puppy is cute.,디스 퍼피 이즈 큐트.,이 / 강아지는 / 귀여워
"Oh, it is very cute.","오, 잇 이즈 베리 큐트.",오 / 그것은 / 정말 / 귀여워
This frog is big.,디스 프로그 이즈 빅.,이 / 개구리는 / 커
This horse is small.,디스 호어스 이즈 스몰.,이 / 말은 / 작아
Is this your cap?,이즈 디스 유어 캡?,이것이 / 너의 / 모자니
"Yes, it is.","예스, 잇 이즈.",응 / 그래
"No, it isn't.","노우, 잇 이즌트.",아니 / 그렇지 않아
Is this your bag?,이즈 디스 유어 백?,이것이 / 너의 / 가방이니
Is this your pencil case?,이즈 디스 유어 펜슬 케이스?,이것이 / 너의 / 필통이니
Is this yours?,이즈 디스 유어즈?,이것이 / 네 것이니
"Yes, that's mine.","예스, 댓츠 마인.",응 / 저것은 / 내 것이야
"No, that's not mine.","노우, 댓츠 낫 마인.",아니 / 저것은 / 아니야 / 내 것이
Whose book is this?,후즈 북 이즈 디스?,누구의 / 책이니 / 이것은
That's mine.,댓츠 마인.,저것은 / 내 것이야
That's not mine.,댓츠 낫 마인.,저것은 / 아니야 / 내 것이
Whose pencil is this?,후즈 펜슬 이즈 디스?,누구의 / 연필이니 / 이것은
Whose watch is this?,후즈 워치 이즈 디스?,누구의 / 시계니 / 이것은
It's Joseph's.,잇츠 죠셉스.,그것은 / 죠셉의 것이야
Whose scarf is this?,후즈 스카프 이즈 디스?,누구의 / 스카프니 / 이것은
It's mine.,잇츠 마인.,그것은 / 내 것이야
Whose gloves are these?,후즈 글러브스 아 디즈?,누구의 / 장갑이니 / 이것들은
They're mine.,데이어 마인.,그것들은 / 내 것이야
Wait your turn.,웨잇 유어 턴.,기다려 / 너의 / 차례를
Whose turn is it?,후즈 턴 이즈 잇?,누구 / 차례니
My turn.,마이 턴.,내 / 차례야
What color is it?,왓 컬러 이즈 잇?,무슨 / 색이니 / 그것은
It's green.,잇츠 그린.,그것은 / 초록색이야
It's gray.,잇츠 그레이.,그것은 / 회색이야
It's red.,잇츠 레드.,그것은 / 빨간색이야
What's this?,왓츠 디스?,무엇이니 / 이것은
It's a red and yellow bag.,잇츠 어 레드 앤드 옐로우 백.,그것은 / 이야 / 빨갛고 노란 / 가방
I like apples.,아이 라이크 애플즈.,나는 / 좋아해 / 사과를
I don't like apples.,아이 돈트 라이크 애플즈.,나는 / 좋아하지 않아 / 사과를
Do you like chicken?,두 유 라이크 치킨?,좋아하니 / 너는 / 닭고기를
"Yes, I like chicken.","예스, 아이 라이크 치킨.",응 / 나는 / 좋아해 / 닭고기를
"No, I don't like chicken.","노우, 아이 돈트 라이크 치킨.",아니 / 나는 / 좋아하지 않아 / 닭고기를
I like grapes.,아이 라이크 그레입스.,나는 / 좋아해 / 포도를
I like bananas.,아이 라이크 버내너즈.,나는 / 좋아해 / 바나나를
"Me, too.","미, 투.",나도 / 역시
I like singing.,아이 라이크 씽잉.,나는 / 좋아해 / 노래하는 것을
"Me, too.","미, 투.",나도 / 그래
What do you like?,왓 두 유 라이크?,무엇을 / 좋아하니 / 너는
I like cats.,아이 라이크 캣츠.,나는 / 좋아해 / 고양이를
"I like cats, too.","아이 라이크 캣츠, 투.",나는 / 좋아해 / 고양이를 / 나도 역시
I like playing soccer.,아이 라이크 플레잉 싸커.,나는 / 좋아해 / 축구 하는 것을
Do you like monkeys?,두 유 라이크 멍키즈?,좋아하니 / 너는 / 원숭이를
"Yes, I like monkeys.","예스, 아이 라이크 멍키즈.",응 / 나는 / 좋아해 / 원숭이를
How about you?,하우 어바웃 유?,어때 / 너는
I don't like monkeys.,아이 돈트 라이크 멍키즈.,나는 / 좋아하지 않아 / 원숭이를
I don't like spiders.,아이 돈트 라이크 스파이더즈.,나는 / 좋아하지 않아 / 거미를
What's your favorite color?,왓츠 유어 페이버릿 컬러?,무엇이니 / 너의 / 가장 좋아하는 / 색깔은
It's red.,잇츠 레드.,그것은 / 빨간색이야
It's purple.,잇츠 퍼플.,그것은 / 보라색이야
I like brown.,아이 라이크 브라운.,나는 / 좋아해 / 갈색을
What's your favorite fruit?,왓츠 유어 페이버릿 프루트?,무엇이니 / 너의 / 가장 좋아하는 / 과일은
It's an apple.,잇츠 언 애플.,그것은 / 이야 / 사과
What's your favorite number?,왓츠 유어 페이버릿 넘버?,무엇이니 / 너의 / 가장 좋아하는 / 숫자는
It's three.,잇츠 쓰리.,그것은 / 3이야
I like number seven.,아이 라이크 넘버 쎄븐.,나는 / 좋아해 / 숫자 / 7을
Seven is a popular number among people.,쎄븐 이즈 어 파퓰러 넘버 어멍 피플.,7은 / 이야 / 인기 있는 / 숫자 / 사람들 사이에서
What's your favorite sport?,왓츠 유어 페이버릿 스포트?,무엇이니 / 너의 / 가장 좋아하는 / 스포츠는
I like to play baseball.,아이 라이크 투 플레이 베이스볼.,나는 / 좋아해 / 하는 것을 / 야구를
I have two dogs.,아이 해브 투 독스.,나는 / 가지고 있어 / 개 두 마리를
I have three cats.,아이 해브 쓰리 캣츠.,나는 / 가지고 있어 / 고양이 세 마리를
Do you have pigs?,두 유 해브 피그즈?,가지고 있니 / 너는 / 돼지를
"Yes, I do. / No, I don't.","예스, 아이 두. / 노우, 아이 돈트.",응 / 그래 / 아니 / 그렇지 않아
Do you have any dogs?,두 유 해브 애니 독스?,가지고 있니 / 너는 / 개를
"Yes, I do.","예스, 아이 두.",응 / 그래
How many dogs do you have?,하우 매니 독스 두 유 해브?,얼마나 많은 / 개를 / 가지고 있니 / 너는
I have five dogs.,아이 해브 파이브 독스.,나는 / 가지고 있어 / 개 다섯 마리를
How many flowers are there?,하우 매니 플라워즈 아 데어?,얼마나 많은 / 꽃들이 / 있니
There's one flower.,데어즈 원 플라워.,있어 / 꽃이 / 한 송이
There are three flowers.,데어 아 쓰리 플라워즈.,있어 / 꽃들이 / 세 송이
How many are there in your family?,하우 매니 아 데어 인 유어 패밀리?,얼마나 많은 / 있니 / 너희 / 가족에
There are five in my family.,데어 아 파이브 인 마이 패밀리.,있어 / 다섯 명이 / 우리 / 가족에
Do you have any brothers?,두 유 해브 애니 브라더즈?,있니 / 너는 / 형제가
I have one elder brother.,아이 해브 원 엘더 브라더.,나는 / 있어 / 형이 / 한 명
I can ski.,아이 캔 스키.,나는 / 할 수 있어 / 스키를
I can't ski.,아이 캔트 스키.,나는 / 할 수 없어 / 스키를
Can you ski?,캔 유 스키?,할 수 있니 / 너는 / 스키를
"Yes, I can.","예스, 아이 캔.",응 / 할 수 있어
"Sure, I can.","슈어, 아이 캔.",물론 / 할 수 있어
"No, I can't.","노우, 아이 캔트.",아니 / 할 수 없어
I can't jump.,아이 캔트 점프.,나는 / 할 수 없어 / 점프를
Help!,헬프!,도와줘!
Wait! I'm coming.,웨잇! 아임 커밍.,기다려 / 내가 / 가고 있어
Are you OK?,아 유 오케이?,괜찮니 / 너는
"Yes, I'm OK.","예스, 아임 오케이.",응 / 나는 / 괜찮아
There is a pet shop around my house.,데어 이즈 어 펫 샵 어라운드 마이 하우스.,있어 / 애완동물 샵이 / 내 집 / 주변에
It's cold.,잇츠 콜드.,추워
Put on your gloves.,풋 온 유어 글러브스.,껴 / 너의 / 장갑을
It's hot outside.,잇츠 핫 아웃사이드.,더워 / 바깥은
Put on your sweater.,풋 온 유어 스웨터.,입어 / 너의 / 스웨터를
It's too small.,잇츠 투 스몰.,그것은 / 너무 / 작아
They're too small.,데이어 투 스몰.,그것들은 / 너무 / 작아
I don't like a rainy day.,아이 돈트 라이크 어 레이니 데이.,나는 / 좋아하지 않아 / 비오는 날을
It's snowing.,잇츠 스노우잉.,눈이 / 오고 있어
I like snow.,아이 라이크 스노우.,나는 / 좋아해 / 눈을
"I like snow, too.","아이 라이크 스노우, 투.",나도 / 좋아해 / 눈을
Let's make a snowman.,렛츠 메이크 어 스노우맨.,만들자 / 눈사람을
Let's go outside.,렛츠 고우 아웃사이드.,가자 / 밖으로
Let's go on a picnic.,렛츠 고우 온 어 픽닉.,가자 / 소풍을
That's a good idea.,댓츠 어 굿 아이디어.,그건 / 좋은 / 생각이야
How's the weather?,하우즈 더 웨더?,어때 / 날씨가
It's sunny.,잇츠 써니.,맑은 / 날씨야
It's a little windy today.,잇츠 어 리를 윈디 투데이.,조금 / 바람이 불어 / 오늘은
How will the weather be tomorrow?,하우 윌 더 웨더 비 투모로우?,어떨까 / 날씨가 / 내일은
It'll be cold tomorrow.,잇을 비 콜드 투모로우.,추울 거야 / 내일은
It'll be sunny tomorrow.,잇을 비 써니 투모로우.,맑을 거야 / 내일은
"Hi, mom! I'm home.","하이, 맘! 아임 홈.",엄마 / 다녀왔습니다
Did you have a good time?,디쥬 해브 어 굿 타임?,보냈니 / 좋은 시간을 / 너는
"Yes, I had a good time.","예스, 아이 해드 어 굿 타임.",응 / 나는 / 보냈어 / 좋은 시간을
Have a nice day.,해브 어 나이스 데이.,보내 / 좋은 / 하루를
Have a good weekend.,해브 어 굿 위켄드.,보내 / 좋은 / 주말을
Enjoy your trip to Europe.,인조이 유어 트립 투 유럽.,즐겨 / 너의 / 여행을 / 유럽으로
"You, too.","유, 투.",너도 / 역시
I hope to see you again.,아이 홉 투 씨 유 어겐.,나는 / 바라 / 보기를 / 너를 / 다시
I hope so.,아이 홉 쏘우.,나도 / 그러기를 / 바라
It was nice meeting you today.,잇 워즈 나이스 미팅 유 투데이.,좋았어 / 만나서 / 너를 / 오늘
I'm afraid I've got to go.,아임 어프레이드 아이브 갓 투 고우.,그만 / 가봐야겠어
"Me, too. Nice talking with you.","미, 투. 나이스 토킹 위드 유.",나도 / 즐거웠어 / 얘기가 / 너와
Watch out! Are you OK?,워치 아웃! 아 유 오케이?,조심해 / 괜찮니 / 너는
"Yes, I'm OK.","예스, 아임 오케이.",응 / 나는 / 괜찮아
Watch your step.,워치 유어 스텝.,조심해 / 너의 / 발걸음을
"Oh, thank you!","오, 땡큐!",오 / 고마워!
Don't go that way. Watch out!,돈트 고우 댓 웨이. 워치 아웃!,가지마 / 그쪽으로 / 조심해!
Thanks.,땡크스.,고마워
Don't run. Don't do that.,돈트 런. 돈트 두 댓.,달리지마 / 그러지 마
Don't watch TV.,돈트 워치 티비.,보지마 / TV를
Don't play the piano.,돈트 플레이 더 피애노우.,치지마 / 피아노를
See you tomorrow at school.,씨 유 투모로우 앳 스쿨.,봐 / 내일 / 학교에서
"Wow, beautiful! I like flowers.","와우, 뷰티풀! 아이 라이크 플라워즈.",와 / 아름답다 / 나는 / 좋아해 / 꽃을
Thank you for your advice.,땡큐 포 유어 어드바이스.,고마워 / 너의 / 조언에 대해
Don't shout.,돈트 샤웃.,소리지르지마
Nice meeting you.,나이스 미팅 유.,반가웠어 / 만나서
I have a date at six.,아이 해브 어 데이트 앳 씩스.,나는 / 있어 / 약속이 / 6시에
What should we do now?,왓 슈드 위 두 나우?,무엇을 / 해야 하지 / 우리는 / 지금
I didn't know that.,아이 디든트 노우 댓.,나는 / 몰랐어 / 그것을
It's a long way.,잇츠 어 롱 웨이.,그것은 / 이야 / 먼 길
Draw a line on it.,드로우 어 라인 온 잇.,그어 / 선을 / 그 위에
Like this?,라이크 디스?,이렇게?
Good!,굿!,좋아!
Draw a rectangle on it.,드로우 어 렉탱글 온 잇.,그려 / 직사각형을 / 그 위에
Make big circles on the paper.,메이크 빅 써클즈 온 더 페이퍼.,그려 / 큰 원들을 / 종이 위에
"Can you help me, please?","캔 유 헬프 미, 플리즈?",도와 줄 수 있니 / 나를 / 제발
"Sure, I can.","슈어, 아이 캔.",물론 / 할 수 있어
"Sorry, I can't.","쏘리, 아이 캔트.",미안해 / 할 수 없어
I'm busy.,아임 비지.,나는 / 바빠
Let me help you.,렛 미 헬프 유.,도와줄게 / 내가 / 너를
Thank you.,땡큐.,고마워
Thank you for helping me.,땡큐 포 헬핑 미.,고마워 / 도와줘서 / 나를
Thank you for coming.,땡큐 포 커밍.,고마워 / 와줘서
Don't mention it.,돈트 멘션 잇.,그런 말 하지마
It was nothing.,잇 워즈 낫씽.,별것도 / 아니었어
It's my pleasure.,잇츠 마이 플레져.,천만에 / 나의 / 기쁨이야
Thank you for giving me a ride.,땡큐 포 기빙 미 어 라이드.,고마워 / 태워줘서 / 나를
How are you doing?,하우 아 유 두잉?,어떻게 / 지내니 / 너는
"I'm fine, thank you.","아임 파인, 땡큐.",잘 지내 / 고마워
How is it going?,하우 이즈 잇 고잉?,어떻게 / 되어가고 있니
Not so good.,낫 쏘우 굿.,별로 / 좋지 않아
How have you been?,하우 해브 유 빈?,어떻게 / 지냈니 / 너는
I'm good.,아임 굿.,나는 / 잘 지내
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에
I have a headache.,아이 해브 어 헤드에이크.,나는 / 있어 / 두통이
I have a toothache.,아이 해브 어 투쓰에이크.,나는 / 있어 / 치통이
Long time no see.,롱 타임 노우 씨.,오랜만이야
How is your family?,하우 이즈 유어 패밀리?,잘 지내니 / 너의 / 가족들은
They are fine.,데이 아 파인.,그들은 / 잘 지내
How old are you?,하우 올드 아 유?,몇 살이니 / 너는
I'm eight years old.,아임 에잇 이어즈 올드.,나는 / 여덟 살이야
How old is your sister?,하우 올드 이즈 유어 씨스터?,몇 살이니 / 너의 / 여동생은
She is seven years old.,쉬 이즈 쎄븐 이어즈 올드.,그녀는 / 일곱 살이야
"My sister is seven years old, too.","마이 씨스터 이즈 쎄븐 이어즈 올드, 투.",내 / 여동생도 / 일곱 살이야 / 역시
When were you born?,웬 워 유 보언?,언제 / 태어났니 / 너는
I was born in 1991.,아이 워즈 보언 인 나인틴 나인티원.,나는 / 태어났어 / 1991년에
When was your father born?,웬 워즈 유어 파더 보언?,언제 / 태어나셨니 / 너의 / 아버지는
He was born in 1959.,히 워즈 보언 인 나인틴 피프티나인.,그는 / 태어나셨어 / 1959년에
What day is it today?,왓 데이 이즈 잇 투데이?,무슨 / 요일이니 / 오늘이
It's Sunday.,잇츠 썬데이.,일요일이야
What's the date today?,왓츠 더 데이트 투데이?,몇 일이니 / 오늘이
It's July 12th.,잇츠 줄라이 트웰브쓰.,7월 / 12일이야
When is your piano concert?,웬 이즈 유어 피애노우 컨서트?,언제니 / 너의 / 피아노 콘서트가
It is January 7th.,잇 이즈 재뉴어리 쎄븐쓰.,1월 / 7일이야
When is your birthday?,웬 이즈 유어 버얼쓰데이?,언제니 / 너의 / 생일이
It's May 20th.,잇츠 메이 트웬티에쓰.,5월 / 20일이야
We have an English class today.,위 해브 언 잉글리쉬 클래스 투데이.,우리는 / 있어 / 영어 수업이 / 오늘
English? We don't have any English class today.,잉글리쉬? 위 돈트 해브 애니 잉글리쉬 클래스 투데이.,영어라고 / 우리는 / 없어 / 영어 수업이 / 오늘
I have an English class on Monday.,아이 해브 언 잉글리쉬 클래스 온 먼데이.,나는 / 있어 / 영어 수업이 / 월요일에
I don't have any English class on Monday.,아이 돈트 해브 애니 잉글리쉬 클래스 온 먼데이.,나는 / 없어 / 영어 수업이 / 월요일에
What time is it?,왓 타임 이즈 잇?,몇 시니
It's eight o'clock.,잇츠 에잇 어클락.,8시야
Hurry up.,허리 업.,서둘러
It's time for school.,잇츠 타임 포 스쿨.,시간이야 / 학교 갈
Oh! I'm late.,오! 아임 레이트.,오 / 나는 / 늦었어
It's time to go home.,잇츠 타임 투 고우 홈.,시간이야 / 집에 갈
What time is it now?,왓 타임 이즈 잇 나우?,몇 시니 / 지금
It's already four forty.,잇츠 올레디 포 포티.,벌써 / 4시 40분이야
I'm sorry.,아임 쏘리.,미안합니다
I'm late.,아임 레이트.,나는 / 늦었어
That's OK.,댓츠 오케이.,괜찮아
I'm sorry to have kept you waiting.,아임 쏘리 투 해브 켑트 유 웨이팅.,미안해 / 기다리게 해서 / 너를
That's all right.,댓츠 올 라이트.,괜찮아
Are you ready to go?,아 유 레디 투 고우?,준비 됐니 / 갈
"Yes, I am. / No, I'm not.","예스, 아이 엠. / 노우, 아임 낫.",응 / 그래 / 아니 / 그렇지 않아
I'll be ready in a few minutes.,아일 비 레디 인 어 퓨 미닛츠.,준비될 거야 / 조금만 더 기다리면
Take your time.,테이크 유어 타임.,천천히 해
Hurry up!,허리 업!,서둘러!
There's no time to lose.,데어즈 노우 타임 투 루즈.,없어 / 기다릴 / 시간이
OK. It won't be long.,오케이. 잇 원트 비 롱.,알았어 / 오래 걸리지 않을 거야
Who's she?,후즈 쉬?,누구니 / 그녀는
She's my grandmother.,쉬즈 마이 그랜드머더.,그녀는 / 나의 / 할머니야
She's old.,쉬즈 올드.,그녀는 / 연세가 있어
Who is this?,후 이즈 디스?,누구니 / 이 사람은
He's my teacher.,히즈 마이 티처.,그는 / 나의 / 선생님이야
Who's this girl?,후즈 디스 걸?,누구니 / 이 소녀는
She's my sister.,쉬즈 마이 씨스터.,그녀는 / 나의 / 여동생이야
Who are they?,후 아 데이?,누구니 / 그들은
They're students.,데이어 스튜던츠.,그들은 / 학생들이야
Is he a teacher?,이즈 히 어 티처?,선생님이니 / 그는
"Yes, he is. / No, he is not.","예스, 히 이즈. / 노우, 히 이즈 낫.",응 / 그래 / 아니 / 그렇지 않아
Are they cooks?,아 데이 쿡스?,요리사들이니 / 그들은
"Yes, they are. / No, they are not.","예스, 데이 아. / 노우, 데이 아 낫.",응 / 그래 / 아니 / 그렇지 않아
Does your mother work?,더즈 유어 마더 워크?,일하니 / 너의 / 어머니는
"Yes, she does.","예스, 쉬 더즈.",응 / 그래
She's a teacher.,쉬즈 어 티처.,그녀는 / 선생님이야
Is she a nurse?,이즈 쉬 어 너스?,간호사니 / 그녀는
"No, she is not. She's a cook.","노우, 쉬 이즈 낫. 쉬즈 어 쿡.",아니 / 그렇지 않아 / 그녀는 / 요리사야
Really? Where does she work?,리얼리? 웨어 더즈 쉬 워크?,정말이야 / 어디서 / 일하니 / 그녀는
She works at Kim's restaurant.,쉬 워크스 앳 킴스 레스터란트.,그녀는 / 일해 / 김가네 식당에서
Are they farmers?,아 데이 파머즈?,농부니 / 그들은
"Yes, they are.","예스, 데이 아.",응 / 그래
Where do they live?,웨어 두 데이 리브?,어디서 / 사니 / 그들은
They live in the countryside.,데이 리브 인 더 컨트리사이드.,그들은 / 살아 / 시골에서
Let's go skiing together.,렛츠 고우 스키잉 투게더.,가자 / 스키 타러 / 함께
Wow! That would be great.,와우! 댓 우드 비 그레이트.,와우 / 그거 / 좋겠다
"But, I can't ski well.","벗, 아이 캔트 스키 웰.",근데 / 나는 / 못 타 / 스키를 / 잘
Come on. I'll help you.,컴 온. 아일 헬프 유.,오 이런 / 내가 / 도와줄게 / 너를
Are they police officers?,아 데이 펄리스 오피서즈?,경찰이니 / 그들은
"No, they are not.","노우, 데이 아 낫.",아니 / 그들은 / 그렇지 않아
They're taxi drivers.,데이어 택시 드라이버즈.,그들은 / 이야 / 택시 운전기사
What does your father do?,왓 더즈 유어 파더 두?,무슨 일을 하니 / 너의 / 아버지는
He's a pilot.,히즈 어 파일럿.,그는 / 조종사야
What do you do?,왓 두 유 두?,무슨 일을 하니 / 너는
I'm a doctor.,아임 어 닥터.,나는 / 의사야
What do you usually do?,왓 두 유 유주얼리 두?,주로 / 무슨 일을 하니 / 너는
I help sick people.,아이 헬프 씩 피플.,나는 / 도와 / 아픈 / 사람들을
Where do you work?,웨어 두 유 워크?,어디서 / 일하니 / 너는
I work in the clinic.,아이 워크 인 더 클리닉.,나는 / 일해 / 병원에서
Where do you live? I live in Seoul.,웨어 두 유 리브? 아이 리브 인 서울.,어디서 / 사니 / 나는 / 살아 / 서울에서
What's your address?,왓츠 유어 어드레스?,무엇이니 / 너의 / 주소가
It's seventeen North Street.,잇츠 쎄븐틴 노어쓰 스트리트.,17 / North Street / 이야
What's your telephone number?,왓츠 유어 텔리폰 넘버?,무엇이니 / 너의 / 전화번호가
