SetCode,SetTitle,RowType,RowSeq,Speaker,EnglishSentence,KoreanPronounce,DirectComprehension,Comprehension,Note
L1_SPK_003,Studying Alone vs. Studying in a Group,script,5,,"When I study by myself, I can move at my own pace without having to wait for others or adjust to a group schedule.","웬 아이 스터디 바이 마이셀프, 아이 캔 무브 앳 마이 오운 페이스 위다웃 해빙 투 웨잇 포어 아더즈 오어 어저스트 투 어 그룹 스케줄.",내가 공부할 때 / 혼자서 / 나는 할 수 있다 / 나아갈 / 내 속도로 / ~없이 / 기다려야 하는 것 / 다른 사람들을 / 또는 맞춰야 하는 것 / 그룹 일정에,"혼자 공부하면, 다른 사람을 기다리거나 그룹 일정에 맞출 필요 없이 제 속도로 진행할 수 있어요.",
L1_SPK_003,Studying Alone vs. Studying in a Group,script,6,,"I also tend to get distracted very easily when other people are talking, even if the conversation is related to the subject.","아이 올소 텐드 투 겟 디스트랙티드 베리 이질리 웬 아더 피플 아 토킹, 이븐 이프 더 컨버세이션 이즈 릴레이티드 투 더 서브젝트.",나는 또한 ~하는 경향이 있다 / 산만해지는 / 매우 쉽게 / 다른 사람들이 말할 때 / 비록 ~이더라도 / 대화가 / 관련된 / 주제에,"다른 사람들이 말하면 아주 쉽게 산만해지는 편이에요, 대화가 주제와 관련이 있더라도요.",
L1_SPK_003,Studying Alone vs. Studying in a Group,script,7,,Studying alone allows me to stay fully focused.,스터디잉 얼론 얼라우즈 미 투 스테이 풀리 포커스트.,혼자 공부하는 것은 / 가능하게 한다 / 나를 / 유지하도록 / 완전히 집중한 상태를,혼자 공부하면 완전히 집중할 수 있어요.,
L1_SPK_003,Studying Alone vs. Studying in a Group,script,8,,"That said, I do think group study has benefits — for example, it can be helpful when preparing for discussions or when you're stuck on a problem.","댓 세드, 아이 두 띵크 그룹 스터디 해즈 베니핏츠 — 포어 이그잼플, 잇 캔 비 헬프풀 웬 프리페어링 포 디스커션즈 오어 웬 유어 스턱 온 어 프라블럼.",그렇긴 해도 / 나는 정말 생각한다 / 그룹 학습이 장점이 있다고 / 예를 들어 / 도움이 될 수 있다 / 준비할 때 / 토론을 / 또는 / 막혔을 때 / 문제에,"그렇긴 하지만, 그룹 학습에도 장점이 있다고 생각해요 — 예를 들어, 토론을 준비하거나 문제에 막혔을 때 도움이 될 수 있어요.",
L1_SPK_003,Studying Alone vs. Studying in a Group,script,9,,"But for my daily study routine, I find individual study to be more efficient and productive.","벗 포 마이 데일리 스터디 루틴, 아이 파인드 인디비주얼 스터디 투 비 모어 이피션트 앤 프로덕티브.",하지만 / 나의 일상 공부 루틴에서는 / 나는 발견한다 / 개인 학습이 / 더 효율적이고 / 생산적이라고,하지만 일상적인 공부 루틴에서는 혼자 공부하는 것이 더 효율적이고 생산적이라고 느껴요.,
L1_SPK_003,Studying Alone vs. Studying in a Group,script,10,,I retain information better when I read and take notes quietly on my own.,아이 리테인 인퍼메이션 베터 웬 아이 리드 앤 테이크 노우츠 콰이엇틀리 온 마이 오운.,나는 기억한다 / 정보를 / 더 잘 / 내가 읽고 / 필기할 때 / 조용히 / 혼자서,혼자 조용히 읽고 필기할 때 정보를 더 잘 기억해요.,
L1_SPK_004,A Person Who Has Influenced You,prompt,1,,Talk about a person who has had a significant influence on your life.,톡 어바웃 어 퍼슨 후 해즈 해드 어 시그니피컨트 인플루언스 온 유어 라이프.,말하라 / 사람에 대해 / 가졌던 / 중요한 영향력을 / 당신의 삶에,당신의 삶에 큰 영향을 준 사람에 대해 이야기하세요.,
L1_SPK_004,A Person Who Has Influenced You,prompt,2,,Explain why this person has been important to you.,익스플레인 와이 디스 퍼슨 해즈 빈 임포어턴트 투 유.,설명하라 / 왜 / 이 사람이 / 중요했는지 / 당신에게,왜 그 사람이 중요한지 설명하세요.,
L1_SPK_004,A Person Who Has Influenced You,script,3,,"The person who has influenced me the most is my high school science teacher, Mr.","더 퍼슨 후 해즈 인플루언스트 미 더 모스트 이즈 마이 하이 스쿨 사이언스 티쳐, 미스터 킴.",그 사람은 / 영향을 준 / 나에게,저에게 가장 큰 영향을 준 사람은 고등학교 과학 선생님이신 김 선생님이에요.,
L1_SPK_004,A Person Who Has Influenced You,script,4,,Kim.,킴.,가장 많이 / ~이다 / 나의 고등학교 과학 선생님 / 김 선생님,가장 많이 ~이다 나의 고등학교 과학 선생님 김 선생님,
L1_SPK_004,A Person Who Has Influenced You,script,5,,"Before his class, I thought science was just a collection of facts to memorize.","비포어 히즈 클래스, 아이 쏫 사이언스 워즈 저스트 어 컬렉션 오브 팩츠 투 메머라이즈.",그의 수업 전에 / 나는 생각했다 / 과학은 / 단지 ~이라고 / 모음 / 사실들의 / 외울,"그의 수업 전에는, 과학이 그저 외워야 할 사실들의 모음이라고 생각했어요.",
L1_SPK_004,A Person Who Has Influenced You,script,6,,But he taught us to ask questions and think critically.,벗 히 톳 어스 투 애스크 퀘스천즈 앤 띵크 크리티컬리.,하지만 / 그는 가르쳤다 / 우리에게 / 질문하는 것을 / 그리고 / 비판적으로 생각하는 것을,하지만 그분은 우리에게 질문하고 비판적으로 사고하는 법을 가르쳐주셨어요.,
L1_SPK_004,A Person Who Has Influenced You,script,7,,"He would often say, ""Don't accept anything unless you understand why it's true.""","히 우드 오펀 세이, ""돈트 억셉트 애니씽 언레스 유 언더스탠드 와이 잇츠 트루.""",그는 자주 말하곤 했다 / 받아들이지 마라 / 어떤 것도 / ~하지 않는 한 / 당신이 이해하는 / 왜 / 그것이 사실인지,"그분은 자주 말씀하셨어요, ""왜 그것이 사실인지 이해하지 못하면 어떤 것도 받아들이지 마라.""",
L1_SPK_004,A Person Who Has Influenced You,script,8,,"That mindset completely changed the way I approach learning — not just in science, but in everything.","댓 마인드셋 컴플릿리 체인지드 더 웨이 아이 어프로치 러닝 — 낫 저스트 인 사이언스, 벗 인 에브리씽.",그 사고방식은 / 완전히 바꿨다 / 방식을 / 내가 접근하는 / 배움에 / 과학뿐 아니라 / 모든 것에서,"그 사고방식은 제가 배움에 접근하는 방식을 완전히 바꿨어요 — 과학뿐 아니라, 모든 것에서요.",
L1_SPK_004,A Person Who Has Influenced You,script,9,,He also encouraged me personally when I was struggling with a difficult project.,히 올소 인커리지드 미 퍼스널리 웬 아이 워즈 스트러글링 윋 어 디피컬트 프라젝트.,그는 또한 격려했다 / 나를 / 개인적으로 / 내가 고전하고 있을 때 / 어려운 프로젝트로,또한 제가 어려운 프로젝트로 힘들어할 때 개인적으로 격려해주셨어요.,
L1_SPK_004,A Person Who Has Influenced You,script,10,,"He stayed after school to help me, which showed me that he genuinely cared about his students.","히 스테이드 애프터 스쿨 투 헬프 미, 위치 쇼드 미 댓 히 제뉴인리 케어드 어바웃 히즈 스튜던츠.",그는 남았다 / 방과 후에 / 나를 도우려고 / 이것은 보여주었다 / 나에게 / 그가 진심으로 / 신경 썼다는 것을 / 그의 학생들에 대해,"방과 후에 남아서 도와주셨는데, 그분이 학생들을 진심으로 걱정한다는 것을 보여줬어요.",
L1_SPK_004,A Person Who Has Influenced You,script,11,,"Because of him, I became interested in research and eventually chose to major in biology.","비커즈 오브 힘, 아이 비케임 인터레스티드 인 리서치 앤 이벤추얼리 초우즈 투 메이저 인 바이올러지.",그 덕분에 / 나는 관심을 갖게 되었다 / 연구에 / 그리고 결국 / 선택했다 / 전공하기를 / 생물학을,"그분 덕분에, 연구에 관심을 갖게 되었고 결국 생물학을 전공하기로 했어요.",
L1_SPK_004,A Person Who Has Influenced You,script,12,,He shaped both my academic path and my way of thinking.,히 쉐이프트 보쓰 마이 아카데믹 패쓰 앤 마이 웨이 오브 띵킹.,그는 형성했다 / 모두 / 나의 학업 경로와 / 나의 사고 방식을,그분은 저의 학업 경로와 사고 방식 모두를 형성해주셨어요.,
L1_SPK_005,Technology in Education,prompt,1,,Do you think technology has had a positive or negative effect on education?,두 유 띵크 테크날러지 해즈 해드 어 파지티브 오어 네거티브 이펙트 온 에듀케이션?,당신은 생각하는가 / 기술이 / 가졌다고 / 긍정적 또는 부정적 영향을,기술이 교육에 긍정적 또는 부정적 영향을 미쳤다고 생각하나요?,
L1_SPK_005,Technology in Education,prompt,2,,Use specific reasons and examples to support your answer.,유즈 스퍼시픽 리즌즈 앤 이그잼플즈 투 서포트 유어 앤서.,교육에? / 사용하라 / 구체적인 이유와 예시를 / 뒷받침하기 위해 / 당신의 답변을,구체적인 이유와 예시로 답변을 뒷받침하세요.,
L1_SPK_005,Technology in Education,script,3,,"I believe technology has had an overall positive effect on education, though it comes with some challenges.","아이 빌리브 테크날러지 해즈 해드 언 오버롤 파지티브 이펙트 온 에듀케이션, 도 잇 컴즈 윋 썸 챌린지즈.",나는 믿는다 / 기술이 / 가졌다고 / 전반적으로 긍정적인 영향을 / 교육에 / 비록 / 그것이 동반하지만 / 몇 가지 도전을,"기술이 교육에 전반적으로 긍정적인 영향을 미쳤다고 생각하지만, 몇 가지 도전이 따르긴 해요.",
L1_SPK_005,Technology in Education,script,4,,The biggest benefit is access to information.,더 비기스트 베니핏 이즈 액세스 투 인퍼메이션.,가장 큰 장점은 / ~이다 / 접근 / 정보에 대한,가장 큰 장점은 정보에 대한 접근성이에요.,
L1_SPK_005,Technology in Education,script,5,,"Before the internet, students had to rely on textbooks and library books, which were sometimes outdated.","비포어 디 인터넷, 스튜던츠 해드 투 릴라이 온 텍스트북스 앤 라이브러리 북스, 위치 워 섬타임즈 아웃데이티드.",인터넷 이전에 / 학생들은 의존해야 했다 / 교과서와 도서관 책에 / 이것들은 / 때때로 / 구식이었다,"인터넷 이전에는, 학생들이 때로는 구식인 교과서와 도서관 책에 의존해야 했어요.",
L1_SPK_005,Technology in Education,script,6,,"Now, anyone with a smartphone can access current research, video lectures, and interactive tools instantly.","나우, 에니원 윋 어 스마트폰 캔 액세스 커런트 리서치, 비디오 렉쳐즈, 앤 인터랙티브 툴즈 인스턴틀리.",지금은 / 누구나 / 스마트폰만 있으면 / 접근할 수 있다 / 최신 연구 / 영상 강의 / 대화형 도구에 / 즉시,"지금은 스마트폰만 있으면 누구나 최신 연구, 영상 강의, 대화형 도구에 즉시 접근할 수 있어요.",
L1_SPK_005,Technology in Education,script,7,,"For example, platforms like Khan Academy allow students to learn at their own pace, which is especially helpful for those who struggle in traditional classroom settings.","포어 이그잼플, 플랫폼즈 라이크 칸 아카데미 얼라우 스튜던츠 투 런 앳 데어 오운 페이스, 위치 이즈 이스페셜리 헬프풀 포 도즈 후 스트러글 인 트러디셔널 클래스룸 세팅즈.",예를 들어 / 플랫폼들 / 칸 아카데미 같은 / 허용한다 / 학생들이 / 배우도록 / 자기 속도로 / 이것은 / 특히 도움이 된다 / 힘들어하는 사람들에게 / 전통적인 교실 환경에서,"예를 들어, 칸 아카데미 같은 플랫폼은 학생들이 자기 속도로 배울 수 있게 해주는데, 전통적인 교실 환경에서 힘들어하는 학생들에게 특히 도움이 돼요.",
L1_SPK_005,Technology in Education,script,8,,"On the downside, technology can also be a major source of distraction — social media and gaming compete for students' attention.","온 더 다운사이드, 테크날러지 캔 올소 비 어 메이저 소스 오브 디스트랙션 — 소셜 미디어 앤 게이밍 컴핏 포 스튜던츠 어텐션.",반면에 / 기술은 또한 될 수 있다 / 주요 원인이 / 산만함의 / 소셜 미디어와 게임이 / 경쟁한다 / 학생들의 관심을 차지하기 위해,"반면에, 기술은 산만함의 주요 원인이 될 수도 있어요 — 소셜 미디어와 게임이 학생들의 관심을 두고 경쟁하거든요.",
L1_SPK_005,Technology in Education,script,9,,"But I think with proper guidance and self-discipline, the benefits far outweigh the negatives.","벗 아이 띵크 윋 프라퍼 가이던스 앤 셀프-디서플린, 더 베니핏츠 파 아웃웨이 더 네거티브즈.",하지만 / 나는 생각한다 / 적절한 지도와 / 자기 규율이 있으면 / 이점이 / 훨씬 능가한다 / 부정적 측면을,"하지만 적절한 지도와 자기 규율이 있다면, 이점이 부정적 측면을 훨씬 능가한다고 생각해요.",
L1_SPK_005,Technology in Education,script,10,,"Technology, used wisely, is a powerful educational tool.","테크날러지, 유즈드 와이즐리, 이즈 어 파워풀 에듀케이셔널 툴.",기술은 / 현명하게 사용되면 / ~이다 / 강력한 교육 도구,기술은 현명하게 사용되면 강력한 교육 도구예요.,
L1_SPK_006,City Living vs. Rural Living,prompt,1,,Some people prefer living in a big city.,썸 피플 프리퍼 리빙 인 어 빅 시티.,일부 사람들은 선호한다 / 사는 것을 / 대도시에,어떤 이들은 대도시에 사는 것을 좋아합니다.,
L1_SPK_006,City Living vs. Rural Living,prompt,2,,Others prefer living in a rural area.,아더즈 프리퍼 리빙 인 어 루럴 에어리어.,다른 이들은 선호한다 / 사는 것을 / 시골 지역에,시골에 사는 것을 좋아하는 사람도 있습니다.,
L1_SPK_006,City Living vs. Rural Living,prompt,3,,Which do you prefer and why?,위치 두 유 프리퍼 앤 와이?,어느 쪽을 선호하나 / 그리고 왜?,어느 쪽을 선호하며 이유는?,
L1_SPK_006,City Living vs. Rural Living,script,4,,"I prefer living in a big city, primarily because of the opportunities it offers.","아이 프리퍼 리빙 인 어 빅 시티, 프라이메릴리 비커즈 오브 디 아퍼튜너티즈 잇 오퍼즈.",나는 선호한다 / 사는 것을 / 대도시에 / 주로 / ~때문에 / 기회들 / 그것이 제공하는,"저는 대도시에 사는 것을 선호하는데, 주로 제공하는 기회들 때문이에요.",
L1_SPK_006,City Living vs. Rural Living,script,5,,"Cities have more job options, better universities, and richer cultural experiences.","시티즈 해브 모어 잡 옵션즈, 베터 유니버시티즈, 앤 리쳐 컬쳐럴 익스피리언시즈.",도시들은 가지고 있다 / 더 많은 일자리 선택지 / 더 좋은 대학 / 더 풍부한 문화 경험을,"도시에는 더 많은 일자리, 더 좋은 대학, 더 풍부한 문화 경험이 있어요.",
L1_SPK_006,City Living vs. Rural Living,script,6,,"I grew up in a small town, and while it was peaceful, I often felt limited in terms of what I could do or where I could go.","아이 그루 업 인 어 스몰 타운, 앤 와일 잇 워즈 피스풀, 아이 오펀 펠트 리미티드 인 텀즈 오브 왓 아이 쿠드 두 오어 웨어 아이 쿠드 고.",나는 자랐다 / 작은 마을에서 / 그리고 / 평화롭긴 했지만 / 나는 자주 느꼈다 / 제한적이라고 / ~의 면에서 / 내가 할 수 있는 것 / 또는 갈 수 있는 곳,"저는 작은 마을에서 자랐는데, 평화롭긴 했지만 할 수 있는 것이나 갈 수 있는 곳이 제한적이라고 자주 느꼈어요.",
L1_SPK_006,City Living vs. Rural Living,script,7,,"Moving to a city opened up a completely different world for me — I could attend concerts, visit museums, take evening classes, and meet people from all kinds of backgrounds.","무빙 투 어 시티 오픈드 업 어 컴플릿리 디퍼런트 월드 포 미 — 아이 쿠드 어텐드 컨서츠, 비짓 뮤지엄즈, 테이크 이브닝 클래시즈, 앤 밋 피플 프럼 올 카인즈 오브 백그라운즈.",이사하는 것은 / 도시로 / 열었다 / 완전히 다른 세계를 / 나에게 / 나는 할 수 있었다 / 콘서트에 가고 / 박물관을 방문하고 / 야간 수업을 듣고 / 다양한 배경의 사람들을 만나는 것을,"도시로 이사하면서 완전히 다른 세계가 열렸어요 — 콘서트에 가고, 박물관을 방문하고, 야간 수업을 듣고, 다양한 배경의 사람들을 만날 수 있었어요.",
L1_SPK_006,City Living vs. Rural Living,script,8,,"I also appreciate the convenience of public transportation in cities, which makes commuting without a car possible.","아이 올소 어프리시에잇 더 컨비니언스 오브 퍼블릭 트랜스포테이션 인 시티즈, 위치 메이크스 커뮤팅 위다웃 어 카 파서블.",나는 또한 감사히 여긴다 / 편리함을 / 대중교통의 / 도시에서 / 이것은 가능하게 한다 / 통근하는 것을 / 차 없이,"도시의 대중교통 편리함도 고마운데, 차 없이 통근할 수 있게 해줘요.",
L1_SPK_006,City Living vs. Rural Living,script,9,,"Of course, cities can be noisy and expensive, but for someone like me who values career growth and cultural engagement, city life is the better fit.","오브 코스, 시티즈 캔 비 노이지 앤 익스펜시브, 벗 포 썸원 라이크 미 후 밸류즈 커리어 그로쓰 앤 컬쳐럴 인게이지먼트, 시티 라이프 이즈 더 베터 핏.",물론 / 도시는 시끄럽고 비쌀 수 있다 / 하지만 / 나 같은 사람에게는 / 중시하는 / 경력 성장과 / 문화적 참여를 / 도시 생활이 / 더 나은 선택이다,"물론, 도시는 시끄럽고 비쌀 수 있지만, 경력 성장과 문화적 참여를 중시하는 저 같은 사람에게는 도시 생활이 더 맞아요.",
L1_SPK_007,A Skill You Want to Learn,prompt,1,,"If you could learn any new skill, what would it be?","이프 유 쿠드 런 에니 뉴 스킬, 왓 우드 잇 비?",만약 / 당신이 배울 수 있다면 / 어떤 새로운 기술이든 / 무엇일까?,"어떤 새로운 기술이든 배울 수 있다면, 무엇을 배우겠나요?",
L1_SPK_007,A Skill You Want to Learn,prompt,2,,Why would you want to learn that skill?,와이 우드 유 원트 투 런 댓 스킬?,왜 / 당신은 원하는가 / 배우기를 / 그 기술을?,왜 그 기술을 배우고 싶나요?,
L1_SPK_007,A Skill You Want to Learn,script,3,,"If I could learn any new skill, I would choose to learn how to play the piano.","이프 아이 쿠드 런 에니 뉴 스킬, 아이 우드 추즈 투 런 하우 투 플레이 더 피아노.",만약 / 내가 배울 수 있다면 / 어떤 새 기술이든 / 나는 선택할 것이다 / 배우는 것을 / 피아노 치는 법을,"어떤 새로운 기술이든 배울 수 있다면, 저는 피아노 치는 법을 배우겠어요.",
L1_SPK_007,A Skill You Want to Learn,script,4,,Music has always been important to me — I listen to it every day and it strongly affects my mood.,뮤직 해즈 올웨이즈 빈 임포어턴트 투 미 — 아이 리슨 투 잇 에브리 데이 앤 잇 스트롱리 어펙츠 마이 무드.,음악은 / 항상 중요했다 / 나에게 / 나는 듣는다 / 그것을 / 매일 / 그리고 / 그것은 강하게 영향을 미친다 / 나의 기분에,"음악은 항상 저에게 중요했어요 — 매일 듣고, 기분에 강하게 영향을 미쳐요.",
L1_SPK_007,A Skill You Want to Learn,script,5,,"However, I've never learned to create it myself, and I feel like I'm only experiencing half of what music can offer.","하우에버, 아이브 네버 런드 투 크리에잇 잇 마이셀프, 앤 아이 필 라이크 아임 온리 익스피리언싱 해프 오브 왓 뮤직 캔 오퍼.",하지만 / 나는 배운 적이 없다 / 만드는 것을 / 그것을 / 직접 / 그리고 / 나는 느낀다 / 내가 경험하고 있다고 / 절반만 / 음악이 줄 수 있는 것의,"하지만, 직접 만드는 법은 배운 적이 없고, 음악이 줄 수 있는 것의 절반만 경험하고 있는 것 같아요.",
